Date Received,Your Title,Title-Level,Gender,Location,City,Global Region,Current Tenure,Was your previous role a CISO / Head of Security position?,Current Company Size,Industry,Company Structure,Title of person you report to?,Compensation Currency,Annual Base Salary $,Estimated Annual Bonus $,Estimated Annual Equity / RSU Value,Base-Converted,Bonus-Converted,Equity-Converted,Total Comp-Converted,Which of the following functions fall under your direct responsibility and decision-making authority?,Team Size,How often do you present to the Board of Directors?,Did your most recent employment offer include a hiring bonus?,Amount of employment offer bonus?,Employment Bonus - Converted,Have you pre-negotiated a severance agreement as part of your employment?,Are you currently included in the following?,Do you have a negotiated accelerated vesting clause / early termination agreement?,Are you currently on a Board of Directors?,Are you currently on a Board of Advisors?,Are you compensated for your Advisor role?,What is the primary measure you use to justify your security budget requirements?,Do you have a personal liability insurance policy in place?,"When it comes to AI security, which area do you believe should receive the highest spending priority within the CISO’s security program?",How would you rate your organization’s current maturity in the area of AI governance and risk management?,What percentage of your organization’s overall annual information security budget do you plan to allocate to AI security?,Which aspect of AI governance and risk management poses the greatest challenge for your organization today?,What are your greatest concerns regarding AI tools in your organization?,Which AI risk management or governance frameworks is your organization currently using or planning to adopt?,Which attack vectors are your organization's highest security priorities for 2026?,"How confident are you in your internal team’s capability to evaluate and verify technical depth, leadership, and domain fit when sourcing security candidates?",Which trade-offs make hiring a security leader most difficult or costly for your organization?,Is your organization planning / considering on hiring a dedicated AI Security Leader,Record_Type,Role_Bucket,Company
11/11/2025,VP Enterprise Tech and Security,CISO / Head Security Level,Male,London,London,Europe & International,8,Yes,250 - 499 employees,Banking / Financial Services,Privately Held Company,Chief Technology Officer,GBP (British Pound Sterling),235000,"$70,500",$0,312550,"$93,765",,406315,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",16,Per request,Yes,"$75,000.00","$99,750.00",No,Neither,No,No,No,,"Compliance and Regulatory Fine(s) Avoidance,Attack Surface / Risk Assessment",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,1,Ensuring transparency and explainability of AI-driven decisions,"Shadow AI usage bypassing security controls,Intellectual property theft through AI platforms","ISO/IEC 23894 (AI Risk Management),EU AI Act requirements (compliance-driven)","AI-enhanced attacks,Cloud misconfigurations",Somewhat confident,"Competing with salary expectations in the market,Uncertainty in defining the right skills and profile for the role",I am the AI Security leader,Actual,CISO,
11/15/2025,CISO,CISO / Head Security Level,Male,London,London,Europe & International,46,Yes,250 - 499 employees,FinTech,Privately Held Company,CEO,GBP (British Pound Sterling),300000,"$270,000",$0,399000,"$359,100",,758100,"Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",13,At least quarterly,Yes,"$50,000.00","$66,500.00",No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,1,Defining clear accountability/ownership for AI risk across the business,Integration with critical systems creating attack vectors,NIST AI Risk Management Framework (AI RMF),"Phishing/social engineering,Ransomware,Third party risk attacks,Zero-day exploits,Cloud misconfigurations",Somewhat confident,Uncertainty in defining the right skills and profile for the role,No,Actual,CISO,
12/24/2025,CISO,CISO / Head Security Level,Male,London,London,Europe & International,49,No,500 - 999 employees,Big Data / Analytics,Privately Held Company,Other,GBP (British Pound Sterling),190000,$0,"$57,000",252700,,"$75,810",328510,"AI Threat Intelligence and Incident Response,Cloud Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),AI Governance / Risk Management and Policy",12,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,,"Percentage of company revenue,Attack Surface / Risk Assessment",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,2,Defining clear accountability/ownership for AI risk across the business,"Shadow AI usage bypassing security controls,Integration with critical systems creating attack vectors",NIST AI Risk Management Framework (AI RMF),"API security,Cloud misconfigurations,Identity/credential theft,Mobile / BYOD threats,Phishing/social engineering,Ransomware,Third party risk attacks",Somewhat confident,Time spent screening unqualified candidates,No,Actual,CISO,
1/6/2026,GCISO,CISO / Head Security Level,Male,UAE,Dubai,Europe & International,11,Yes,< 250 employees,Big Data / Analytics,Non-Profit,Chief Risk Officer,USD (U.S. Dollar),300000,"$210,000",$0,300000,"$210,000",,510000,"AI Data Protection / Privacy and Security,GRC,Identity & Access Management / IAM,Incident Response,Cloud Security,AI/ML Security Engineering,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Privacy,Security Operations,Third Party Risk Management (TPRM)",220,At least quarterly,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,No,,"Business Impact,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Initial / ad hoc efforts,2,Other,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls,Regulatory compliance violations","NIST AI Risk Management Framework (AI RMF),Internal / proprietary AI risk framework","API security,Cloud misconfigurations,Identity/credential theft,Ransomware,Third party risk attacks",Very confident,"Lack of alignment on the role requirements,Uncertainty in defining the right skills and profile for the role",No,Actual,CISO,
12/22/2025,CISO,CISO / Head Security Level,Male,"Bratislava, Slovakia",Bratislava,Europe & International,192,No,1000 - 4999 employees,Cloud Security,Privately Held Company,Other,EUR (Euro),66000,"$13,700",$0,77220,"$16,029",,93249,"AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",38,At least quarterly,No,,,No,Neither,No,No,No,,"Financial and/or Risk-Based Metrics,Compliance and Regulatory Fine(s) Avoidance,Attack Surface / Risk Assessment",Yes,Workforce training and upskilling on AI risks,Initial / ad hoc efforts,2,Establishing regulatory compliance and auditability for AI systems,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls,Regulatory compliance violations,Intellectual property theft through AI platforms",EU AI Act requirements (compliance-driven),"Ransomware,Third party risk attacks,API security,Insider threats",Somewhat confident,"Competing with salary expectations in the market,Uncertainty in defining the right skills and profile for the role,Risk of hiring someone who looks good on paper but lacks depth",No,Actual,CISO,
10/17/2025,Chief Security Officer,CISO / Head Security Level,Female,Netherlands,Amsterdam,Europe & International,36,Yes,"10,000 - 25,000 employees",Leisure / Hospitality,Publicly Traded Company,Chief Technology Officer,EUR (Euro),265000,"$180,000","$300,000",310050,"$210,600","$351,000",871650,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",550,At least quarterly,Yes,"$100,000.00","$117,000.00",Yes,Neither,No,Yes,Yes,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics",No,Third-party/vendor AI risk management,Established and repeatable,2,Establishing regulatory compliance and auditability for AI systems,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",EU AI Act requirements (compliance-driven),"API security,Ransomware,Insider threats",Somewhat confident,Risk of hiring someone who looks good on paper but lacks depth,No,Actual,CISO,
10/14/2025,CISO,CISO / Head Security Level,Male,London,London,Europe & International,11,Yes,"25,000+ employees",Manufacturing,Publicly Traded Company,Chief Information Officer,GBP (British Pound Sterling),240000,$0,$0,319200,,,319200,"AI Data Protection / Privacy and Security,Cloud Security,Corp IT Security / Enterprise Security,Incident Response,Identity & Access Management / IAM,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",25,I do not report to the Board of Directors,No,,,No,Neither,No,No,No,,"Compliance and Regulatory Fine(s) Avoidance,Business Impact",No,Monitoring and detection for AI-driven threats,Initial / ad hoc efforts,2,Shadow AI,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",None at this time,"Ransomware,Phishing/social engineering",Not confident,Location (RTO) constraints limiting hiring,No,Actual,CISO,
12/1/2025,CISO,CISO / Head Security Level,Female,Israel,Tel Aviv,Europe & International,40,Yes,"5000 - 9,999 employees",Banking / Financial Services,Publicly Traded Company,Chief Information Officer,USD (U.S. Dollar),250000,"$45,000",$0,250000,"$45,000",,295000,"AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Fraud,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Third Party Risk Management (TPRM)",50,At least quarterly,Yes,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",Yes,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,3,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls","NIST AI Risk Management Framework (AI RMF),EU AI Act requirements (compliance-driven)","Cloud misconfigurations,Third party risk attacks,Zero-day exploits",Not confident,"Uncertainty in defining the right skills and profile for the role,Other",Yes,Actual,CISO,
11/12/2025,Chief Security Officer,CISO / Head Security Level,Male,Cambridge UK,London,Europe & International,27,Yes,"5000 - 9,999 employees",Logistics / Transportation,Government / Municipality,Chief Information Officer,GBP (British Pound Sterling),151000,"$21,000",$0,200830,"$27,930",,228760,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Security Operations,Third Party Risk Management (TPRM)",100,At least quarterly,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Compliance and Regulatory Fine(s) Avoidance,Business Impact",Yes,Workforce training and upskilling on AI risks,Developing but inconsistent,3,Defining clear accountability/ownership for AI risk across the business,"AI-generated content being used in social engineering attacks,Regulatory compliance violations",EU AI Act requirements (compliance-driven),"Identity/credential theft,IoT/OT device vulnerabilities",Very confident,Competing with salary expectations in the market,I am the AI Security leader,Actual,CISO,
11/21/2025,CISO,CISO / Head Security Level,Male,London,London,Europe & International,11,Yes,1000 - 4999 employees,Banking / Financial Services,Publicly Traded Company,Chief Information Officer,GBP (British Pound Sterling),280000,"$140,000","$100,000",372400,"$186,200","$133,000",691600,"AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Post-Quantum Cryptography (PQC),Product Security / AppSec,Third Party Risk Management (TPRM),Trust & Safety",15,At least quarterly,Yes,"$50,000.00","$66,500.00",Yes,Corporate Directors & Officers (D&O) Policy,Yes,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,5,Establishing regulatory compliance and auditability for AI systems,"Integration with critical systems creating attack vectors,Data exposure/privacy breaches","NIST AI Risk Management Framework (AI RMF),ISO/IEC 23894 (AI Risk Management)","Identity/credential theft,Cloud misconfigurations,API security,AI-enhanced attacks,Zero-day exploits,Phishing/social engineering,Ransomware",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",Yes,Actual,CISO,
10/14/2025,CISO,CISO / Head Security Level,Male,London,London,Europe & International,16,Yes,1000 - 4999 employees,Banking / Financial Services,Publicly Traded Company,Chief Technology Officer,GBP (British Pound Sterling),300000,"$100,000","$40,000",399000,"$133,000","$53,200",585200,"AI Data Protection / Privacy and Security,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Privacy,Security Operations,Third Party Risk Management (TPRM)",65,At least quarterly,Yes,"$50,000.00","$66,500.00",Yes,Not Sure,No,No,No,,"Attack Surface / Risk Assessment,Business Impact",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,5,Ensuring transparency and explainability of AI-driven decisions,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"Ransomware,API security",Somewhat confident,Risk of hiring someone who looks good on paper but lacks depth,No,Actual,CISO,
10/14/2025,CISO,CISO / Head Security Level,Male,Germany,Berlin,Europe & International,14,Yes,500 - 999 employees,Cloud Security,Privately Held Company,CEO,EUR (Euro),300000,"$75,000","$705,000",351000,"$87,750","$824,850",1263600,"AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Physical Security / Executive Protection,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",15,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,Yes (Cash and / or Equity),Attack Surface / Risk Assessment,Yes,Monitoring and detection for AI-driven threats,Developing but inconsistent,5,Aligning AI security with enterprise risk management frameworks,Dependency on AI vendors with unclear security practices,None at this time,"AI-enhanced attacks,Cloud misconfigurations",Somewhat confident,Risk of hiring someone who looks good on paper but lacks depth,No,Actual,CISO,
10/14/2025,GM Reliability and Security,CISO / Head Security Level,Male,Melbourne Victoria Australia,Melbourne,Europe & International,57,No,1000 - 4999 employees,FinTech,Privately Held Company,Chief Technology Officer,USD (U.S. Dollar),220000,"$60,000","$80,000",220000,"$60,000","$80,000",360000,"AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety,Infrastructure Engineering / Operations",28,At least annually,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,,"Business Impact,Financial and/or Risk-Based Metrics,Compliance and Regulatory Fine(s) Avoidance",No,Third-party/vendor AI risk management,Developing but inconsistent,5,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls,Dependency on AI vendors with unclear security practices,Regulatory compliance violations","Other,ISO/IEC 23894 (AI Risk Management)","AI-enhanced attacks,Identity/credential theft",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",Already have a dedicated AI Security leader in place,Actual,CISO,
1/6/2026,Global CISO and Cyber Risk Engineering Lead,CISO / Head Security Level,Male,UK,London,Europe & International,8,No,250 - 499 employees,Insurance,Privately Held Company,Chief Technology Officer,GBP (British Pound Sterling),90000,"$20,000",$0,119700,"$26,600",,146300,"AI Data Protection / Privacy and Security,Cloud Security,Identity & Access Management / IAM,Third Party Risk Management (TPRM)",1,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,,"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics,Compliance and Regulatory Fine(s) Avoidance",No,Workforce training and upskilling on AI risks,Established and repeatable,5,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"Identity/credential theft,Mobile / BYOD threats,Third party risk attacks",Very confident,Lack of alignment on the role requirements,Already have a dedicated AI Security leader in place,Actual,CISO,
