Date Received,Your Title,Title-Level,Gender,Location,City,Global Region,Current Tenure,Was your previous role a CISO / Head of Security position?,Current Company Size,Industry,Industry Tier,Company Structure,Title of person you report to?,Annual Base,Annual Bonus,Est Annual Equity,Total Compensation,Which of the following functions fall under your direct responsibility and decision-making authority?,Team Size,How often do you present to the Board of Directors?,Did your most recent employment offer include a hiring bonus?,Amount of employment offer bonus?,Employment Bonus - Converted,Have you pre-negotiated a severance agreement as part of your employment?,Are you currently included in the following?,Do you have a negotiated accelerated vesting clause / early termination agreement?,Are you currently on a Board of Directors?,Are you currently on a Board of Advisors?,Are you compensated for your Advisor role?,What is the primary measure you use to justify your security budget requirements?,Do you have a personal liability insurance policy in place?,"When it comes to AI security, which area do you believe should receive the highest spending priority within the CISO’s security program?",How would you rate your organization’s current maturity in the area of AI governance and risk management?,What percentage of your organization’s overall annual information security budget do you plan to allocate to AI security?,Which aspect of AI governance and risk management poses the greatest challenge for your organization today?,What are your greatest concerns regarding AI tools in your organization?,Which AI risk management or governance frameworks is your organization currently using or planning to adopt?,Which attack vectors are your organization's highest security priorities for 2026?,"How confident are you in your internal team’s capability to evaluate and verify technical depth, leadership, and domain fit when sourcing security candidates?",Which trade-offs make hiring a security leader most difficult or costly for your organization?,Is your organization planning / considering on hiring a dedicated AI Security Leader,Record_Type,Role_Bucket,Company
10/14/2025,VP and CISO,CISO / Head Security Level,Male,Sunnyvale,Bay Area,North America,89,Yes,"25,000+ employees",Manufacturing,Baseline,Publicly Traded Company,Chief Technology Officer,"$350,000","$140,000","$1,000,000","$1,490,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",110,At least quarterly,Yes,"$150,000.00","$150,000.00",No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,No,,"Attack Surface / Risk Assessment,Business Impact",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,6,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",None at this time,"AI-enhanced attacks,Insider threats",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",Yes,Actual,CISO,
10/31/2025,CISO,CISO / Head Security Level,Female,Spring / Texas / USA,Houston,North America,42,Yes,"5000 - 9,999 employees",Retail,Baseline,Privately Held Company,Chief Technology Officer,"$353,000","$160,000","$140,000","$653,000","AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Infrastructure Engineering / Operations,Identity & Access Management / IAM,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),AI Data Protection / Privacy and Security",10,At least quarterly,Yes,"$50,000.00","$50,000.00",Yes,Corporate Directors & Officers (D&O) Policy,No,No,No,,"Business Impact,Financial and/or Risk-Based Metrics,Compliance and Regulatory Fine(s) Avoidance,Attack Surface / Risk Assessment,Percentage of company revenue",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,10,Shadow AI,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls,Dependency on AI vendors with unclear security practices,Regulatory compliance violations",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Identity/credential theft,Phishing/social engineering,Ransomware,Third party risk attacks",Not confident,Competing with salary expectations in the market,Already have a dedicated AI Security leader in place,Actual,CISO,
Synthetic-2026,Chief Information Security Officer,CISO / Head Security Level,Male,"San Francisco, CA, USA",Bay Area,North America,24,No,1000 - 4999 employees,Retail,Baseline,Publicly Traded Company,Chief Information Officer,"$355,000",,"$115,000","$470,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,GRC,Identity & Access Management / IAM,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Post-Quantum Cryptography (PQC),Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",22,At least semi-annually,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Business Impact,Compliance and Regulatory Fine(s) Avoidance,Percentage of company revenue",Yes,Monitoring and detection for AI-driven threats,Initial / ad hoc efforts,20,Establishing regulatory compliance and auditability for AI systems,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors,Intellectual property theft through AI platforms",EU AI Act requirements (compliance-driven),"Identity/credential theft,Ransomware",Somewhat confident,"Time spent screening unqualified candidates,Uncertainty in defining the right skills and profile for the role",No,Synthetic,CISO,ASML
Synthetic-2026,"VP, Information Security",NextGen,Male,"Chattanooga, TN, USA",Chattanooga,North America,42,No,1000 - 4999 employees,Retail,Baseline,Publicly Traded Company,CISO,"$355,000","$169,000",,"$524,000","AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Post-Quantum Cryptography (PQC),Privacy,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",6,I do not report to the Board of Directors,No,,,No,Neither,No,No,No,No,"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Workforce training and upskilling on AI risks,Initial / ad hoc efforts,5,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors","EU AI Act requirements (compliance-driven),NIST AI Risk Management Framework (AI RMF)","Identity/credential theft,Third party risk attacks",Not confident,Competing with salary expectations in the market,No,Synthetic,VP Security,Mastercard
10/29/2025,CISO,CISO / Head Security Level,Male,"Seattle, WA",Seattle,North America,84,Yes,"5000 - 9,999 employees",Manufacturing,Baseline,Publicly Traded Company,Chief Financial Officer,"$355,000","$175,000","$200,000","$730,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Incident Response,Fraud,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",25,At least semi-annually,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,Yes,No,Percentage of company revenue,No,Monitoring and detection for AI-driven threats,Initial / ad hoc efforts,0,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Zero-day exploits",Somewhat confident,Location (RTO) constraints limiting hiring,I am the AI Security leader,Actual,CISO,
Synthetic-2026,VP Security,NextGen,Male,"Orlando, USA",Orlando,North America,42,Yes,"25,000+ employees",EdTech,Baseline,Publicly Traded Company,CISO,"$355,000",,"$460,000","$815,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Other,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",14,At least annually,Yes,"$30,000","$30,000",No,Corporate Directors & Officers (D&O) Policy,No,No,No,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics",No,Workforce training and upskilling on AI risks,Developing but inconsistent,20,Managing third-party/vendor AI risk,"Regulatory compliance violations,Shadow AI usage bypassing security controls",ISO/IEC 23894 (AI Risk Management),"Cloud misconfigurations,Identity/credential theft",Somewhat confident,Risk of hiring someone who looks good on paper but lacks depth,Yes,Synthetic,VP Security,Okta
Synthetic-2026,CISO,CISO / Head Security Level,Male,"New York, NY, USA",NYC Metro,North America,38,Yes,1000 - 4999 employees,EdTech,Baseline,Privately Held Company,COO / President,"$360,000",,,"$360,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Infrastructure Engineering / Operations,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",25,At least semi-annually,Yes,"$10,000","$10,000",No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Initial / ad hoc efforts,5,Managing third-party/vendor AI risk,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls","None at this time,Other","Cloud misconfigurations,Third party risk attacks",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CISO,Sumo Logic
Synthetic-2026,"EVP, CISO",CISO / Head Security Level,Male,"Los Angeles, CA, USA",Los Angeles,North America,19,Yes,1000 - 4999 employees,Food & Beverage,Baseline,Privately Held Company,COO / President,"$360,000","$20,000",,"$380,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Security Operations",12,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,Yes (Cash and / or Equity),"Business Impact,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Established and repeatable,1,Shadow AI,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,API security,Cloud misconfigurations,Insider threats,Zero-day exploits",Somewhat confident,"Competing with salary expectations in the market,Lack of alignment on the role requirements",No,Synthetic,CISO,Anomali
1/5/2026,Enterprise CISO,CISO / Head Security Level,Male,"Denver, CO USA",Denver,North America,45,Yes,"10,000 - 25,000 employees",Broadcasting / Media,Baseline,Privately Held Company,COO / President,"$360,000","$35,000",,"$395,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Privacy,Third Party Risk Management (TPRM)",4,At least quarterly,Yes,"$25,000.00","$25,000.00",No,Not Sure,No,No,No,,"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics",No,Workforce training and upskilling on AI risks,Developing but inconsistent,10,Aligning AI security with enterprise risk management frameworks,"Dependency on AI vendors with unclear security practices,AI decision-making in security tools creating blind spots","NIST AI Risk Management Framework (AI RMF),Internal / proprietary AI risk framework","Cloud misconfigurations,Mobile / BYOD threats",Not confident,"Location (RTO) constraints limiting hiring,Competing with salary expectations in the market",No,Actual,CISO,
Synthetic-2026,CISO,CISO / Head Security Level,Male,"Austin, TX, USA",Austin,North America,188,Yes,1000 - 4999 employees,Insurance,Baseline,Privately Held Company,Chief Information Officer,"$360,000","$75,000",,"$435,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Physical Security / Executive Protection,Product Security / AppSec,Security Operations",28,At least annually,Yes,"$10,000","$10,000",No,Neither,No,Yes,Yes,No,"Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Initial / ad hoc efforts,5,Managing third-party/vendor AI risk,"Dependency on AI vendors with unclear security practices,Regulatory compliance violations",Internal / proprietary AI risk framework,"Cloud misconfigurations,Third party risk attacks",Somewhat confident,"Competing with salary expectations in the market,Time spent screening unqualified candidates",No,Synthetic,CISO,Privia Health
Synthetic-2026,CISO,CISO / Head Security Level,Male,"Chicago, IL, USA",Chicago,North America,9,No,1000 - 4999 employees,Insurance,Baseline,Privately Held Company,Chief Financial Officer,"$360,000","$60,000","$20,000","$440,000","AI Data Protection / Privacy and Security,AI Safety & Reliability,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Incident Response,Post-Quantum Cryptography (PQC),Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",39,At least quarterly,No,,,No,"Corporate Indemnification Policy,Corporate Directors & Officers (D&O) Policy",No,No,No,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics",Yes,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,5,Shadow AI,Dependency on AI vendors with unclear security practices,NIST AI Risk Management Framework (AI RMF),"API security,Other",Somewhat confident,"Competing with salary expectations in the market,Lack of alignment on the role requirements",I am the AI Security leader,Synthetic,CISO,LogRhythm
Synthetic-2026,CSO,CISO / Head Security Level,Female,"Chicago, IL, USA",Chicago,North America,10,No,"10,000 - 25,000 employees",Manufacturing,Baseline,Privately Held Company,COO / President,"$360,000",,"$135,000","$495,000","AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",103,At least semi-annually,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,No,Yes (Cash and / or Equity),"Business Impact,Compliance and Regulatory Fine(s) Avoidance",Yes,Monitoring and detection for AI-driven threats,Developing but inconsistent,0,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Ransomware",Somewhat confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",No,Synthetic,CISO,Lattice
11/7/2025,CISO,CISO / Head Security Level,Female,San deigo / CA / USA,San Diego,North America,20,No,"10,000 - 25,000 employees",Entertainment,Baseline,Publicly Traded Company,Chief Financial Officer,"$360,000","$120,000","$150,000","$630,000","AI Data Protection / Privacy and Security,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Fraud,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations",77,At least semi-annually,No,,,Yes,Corporate Directors & Officers (D&O) Policy,No,No,No,,"Attack Surface / Risk Assessment,Percentage of company revenue,Financial and/or Risk-Based Metrics,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,6,Shadow AI,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",NIST AI Risk Management Framework (AI RMF),"Identity/credential theft,API security,Phishing/social engineering,Ransomware,Third party risk attacks",Somewhat confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring,Uncertainty in defining the right skills and profile for the role",No,Actual,CISO,
1/7/2026,VP Security and IT,CISO / Head Security Level,Female,San Francisco,Bay Area,North America,36,Yes,500 - 999 employees,Internet,Baseline,Privately Held Company,Chief Technology Officer,"$360,000",,"$400,000","$760,000","Corp IT Security / Enterprise Security,Cloud Security,AI Data Protection / Privacy and Security,AI/ML Security Engineering,Identity & Access Management / IAM,GRC,Security Operations,Third Party Risk Management (TPRM),Product Security / AppSec",10,Per request,No,,,No,Neither,No,No,No,,"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",Yes,Third-party/vendor AI risk management,Developing but inconsistent,5,Defining clear accountability/ownership for AI risk across the business,Shadow AI usage bypassing security controls,Internal / proprietary AI risk framework,Phishing/social engineering,Somewhat confident,Location (RTO) constraints limiting hiring,No,Actual,CISO,
12/31/2025,Chief Information Security Officer,CISO / Head Security Level,Male,Boston,Boston,North America,58,Yes,"10,000 - 25,000 employees",Waste Management,Baseline,Publicly Traded Company,Chief Information Officer,"$360,000","$250,000","$250,000","$860,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,Cloud Security,Corp IT Security / Enterprise Security,Incident Response,Information Technology (IT) / Business Technology (BizApps),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",11,At least quarterly,Yes,"$300,000.00","$300,000.00",Yes,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Financial and/or Risk-Based Metrics,Attack Surface / Risk Assessment,Business Impact",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,5,Ensuring transparency and explainability of AI-driven decisions,"Data exposure/privacy breaches,AI-generated content being used in social engineering attacks",None at this time,"Identity/credential theft,API security",Somewhat confident,"Location (RTO) constraints limiting hiring,Competing with salary expectations in the market",No,Actual,CISO,
Synthetic-2026,Head of Security,CISO / Head Security Level,Male,"Austin, TX, USA",Austin,North America,57,No,500 - 999 employees,Construction,Baseline,Privately Held Company,CEO,"$360,000","$50,000","$455,000","$865,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",5,I do not report to the Board of Directors,No,,,No,Neither,No,No,No,No,"Attack Surface / Risk Assessment,Business Impact",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,15,Establishing regulatory compliance and auditability for AI systems,Data exposure/privacy breaches,"Internal / proprietary AI risk framework,None at this time","AI-enhanced attacks,Identity/credential theft",Somewhat confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",I am the AI Security leader,Synthetic,CISO,Airbyte
Synthetic-2026,Global CISO,CISO / Head Security Level,Male,"Atlanta, GA, USA",Atlanta,North America,19,Yes,"10,000 - 25,000 employees",Education,Baseline,Privately Held Company,Chief Technology Officer,"$360,000","$120,000","$390,000","$870,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",6,At least annually,No,,,Yes,Neither,No,No,No,No,"Business Impact,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Established and repeatable,5,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Regulatory compliance violations,Shadow AI usage bypassing security controls",Internal / proprietary AI risk framework,"AI-enhanced attacks,Phishing/social engineering,Third party risk attacks",Don't Know / Not applicable,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",No,Synthetic,CISO,ConnectWise
Synthetic-2026,CSO,CISO / Head Security Level,Male,"Philadelphia, PA, USA",Philadelphia,North America,58,No,"10,000 - 25,000 employees",Insurance,Baseline,Privately Held Company,Chief Financial Officer,"$360,000","$8,000","$687,000","$1,055,000","AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Post-Quantum Cryptography (PQC),Security Operations,Third Party Risk Management (TPRM)",20,At least semi-annually,No,,,Yes,Corporate Directors & Officers (D&O) Policy,No,No,Yes,Yes (Cash and / or Equity),"Business Impact,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Workforce training and upskilling on AI risks,Developing but inconsistent,1,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",Internal / proprietary AI risk framework,"API security,Third party risk attacks",Somewhat confident,"Location (RTO) constraints limiting hiring,Time spent screening unqualified candidates",No,Synthetic,CISO,Illumio
10/31/2025,Chief Information Security Officer,CISO / Head Security Level,Male,"San Francisco, CA, USA",Bay Area,North America,12,Yes,1000 - 4999 employees,Internet,Baseline,Privately Held Company,Chief Information Officer,"$360,000","$54,000","$1,000,000","$1,414,000","AI Data Protection / Privacy and Security,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",17,At least annually,Yes,"$55,000.00","$55,000.00",No,Corporate Directors & Officers (D&O) Policy,Yes,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Third-party/vendor AI risk management,Developing but inconsistent,25,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls,AI decision-making in security tools creating blind spots","EU AI Act requirements (compliance-driven),NIST AI Risk Management Framework (AI RMF)","Phishing/social engineering,Zero-day exploits,Third party risk attacks",Very confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Actual,CISO,
Synthetic-2026,VP Business Technology,NextGen,Male,"Austin, TX, USA",Austin,North America,19,Yes,"10,000 - 25,000 employees",Government,Baseline,Publicly Traded Company,CISO,"$365,000","$24,000","$206,000","$595,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Physical Security / Executive Protection,Post-Quantum Cryptography (PQC),Privacy,Product Security / AppSec,Security Operations,Trust & Safety",59,I do not report to the Board of Directors,No,,,No,Neither,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Initial / ad hoc efforts,0,Other,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",None at this time,"Cloud misconfigurations,Insider threats,IoT/OT device vulnerabilities,Phishing/social engineering",Not confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",No,Synthetic,VP Business Technology,Autodesk
Synthetic-2026,"EVP, CISO",CISO / Head Security Level,Male,"Chicago, IL, USA",Chicago,North America,21,Yes,"5000 - 9,999 employees",Industrial / Manufacturing,Baseline,Privately Held Company,Chief Information Officer,"$365,000","$8,000","$252,000","$625,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",16,At least semi-annually,No,,,Yes,Neither,No,No,Yes,No,"Attack Surface / Risk Assessment,Business Impact",No,Workforce training and upskilling on AI risks,Initial / ad hoc efforts,0,Shadow AI,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices",Internal / proprietary AI risk framework,"Cloud misconfigurations,Identity/credential theft,Insider threats,Third party risk attacks",Somewhat confident,Competing with salary expectations in the market,No,Synthetic,CISO,TrustArc
10/31/2025,Head of Security,CISO / Head Security Level,Male,"Redwood Shores, CA, USA",Bay Area,North America,2,No,1000 - 4999 employees,Consumer Software,Baseline,Privately Held Company,Chief Technology Officer,"$365,000","$91,250","$230,000","$686,250","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",15,I do not report to the Board of Directors,Yes,"$35,000.00","$35,000.00",No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,10,Shadow AI,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls,AI-generated content being used in social engineering attacks,Intellectual property theft through AI platforms",NIST AI Risk Management Framework (AI RMF),"Cloud misconfigurations,API security,Mobile / BYOD threats,Insider threats",Don't Know / Not applicable,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",No,Actual,CISO,
11/25/2025,CISO/CIO,CISO / Head Security Level,Male,"Grand Rapids, Michigan, United States",Grand Rapids,North America,6,Yes,1000 - 4999 employees,EdTech,Baseline,Privately Held Company,COO / President,"$365,000","$146,000","$250,000","$761,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,Identity & Access Management / IAM,GRC,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",100,At least quarterly,Yes,"$100,000.00","$100,000.00",No,Corporate Directors & Officers (D&O) Policy,Yes,No,Yes,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics,Compliance and Regulatory Fine(s) Avoidance",Yes,Workforce training and upskilling on AI risks,Developing but inconsistent,5,Shadow AI,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls","NIST AI Risk Management Framework (AI RMF),EU AI Act requirements (compliance-driven)","Cloud misconfigurations,Third party risk attacks",Somewhat confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Actual,CISO,
Synthetic-2026,Global CISO,CISO / Head Security Level,Male,"Denver, CO, USA",Denver,North America,42,No,"25,000+ employees",Manufacturing,Baseline,Privately Held Company,Chief Technology Officer,"$365,000","$25,000","$485,000","$875,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Other,Product Security / AppSec",20,At least semi-annually,Yes,"$25,000","$25,000",No,Corporate Directors & Officers (D&O) Policy,Yes,No,Yes,No,"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics,Percentage of company revenue",No,Third-party/vendor AI risk management,Initial / ad hoc efforts,5,Establishing regulatory compliance and auditability for AI systems,"Data exposure/privacy breaches,Regulatory compliance violations",ISO/IEC 23894 (AI Risk Management),"AI-enhanced attacks,IoT/OT device vulnerabilities,Phishing/social engineering,Ransomware",Don't Know / Not applicable,Risk of hiring someone who looks good on paper but lacks depth,No,Synthetic,CISO,Fivetran
Synthetic-2026,Deputy CISO,NextGen,Male,"Seattle, WA, USA",Seattle,North America,15,Yes,"25,000+ employees",Internet,Baseline,Privately Held Company,CISO,"$365,000",,"$520,000","$885,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Incident Response,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",9,I do not report to the Board of Directors,Yes,"$25,000","$25,000",No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics",Yes,Monitoring and detection for AI-driven threats,Initial / ad hoc efforts,20,Defining clear accountability/ownership for AI risk across the business,"AI-generated content being used in social engineering attacks,Dependency on AI vendors with unclear security practices",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Phishing/social engineering,Ransomware",Somewhat confident,Risk of hiring someone who looks good on paper but lacks depth,No,Synthetic,Deputy CISO,Samsara
